cliente_id,idade,sexo,tempo_contrato_meses,servico_internet,tipo_contrato,valor_mensal,total_gasto,num_servicos,dependentes,fatura_online,seguro_dispositivo,suporte_tecnico,churn
C1000,56,Masculino,7,Fibra,Mensal,52.52,342.2,1,Não,Não,Não,Sim,Não
C1001,69,Masculino,9,Fibra,Mensal,23.93,228.02,2,Não,Sim,Não,Não,Sim
C1002,46,Feminino,48,Não tem,Mensal,47.2,2394.83,3,Sim,Sim,Não,Não,Não
C1003,32,Masculino,59,Não tem,Anual,20.64,1153.78,1,Não,Não,Sim,Sim,Não
C1004,60,Masculino,39,Fibra,Bianual,117.84,4401.51,4,Sim,Sim,Não,Não,Sim
C1005,25,Feminino,18,Fibra,Mensal,116.57,2282.06,2,Sim,Sim,Não,Sim,Não
C1006,78,Masculino,59,DSL,Anual,59.52,3740.41,1,Não,Sim,Não,Sim,Sim
C1007,38,Masculino,17,Não tem,Anual,92.84,1640.72,1,Não,Sim,Sim,Não,Não
C1008,56,Masculino,14,DSL,Anual,54.58,700.28,2,Não,Não,Sim,Não,Sim
C1009,75,Masculino,31,Fibra,Mensal,87.11,2656.27,2,Não,Não,Sim,Não,Não
C1010,36,Masculino,24,Fibra,Mensal,100.54,2441.58,4,Não,Sim,Não,Sim,Não
C1011,40,Feminino,60,DSL,Mensal,114.68,6450.63,4,Sim,Não,Sim,Não,Não
C1012,28,Masculino,45,Fibra,Anual,60.02,2672.93,1,Não,Sim,Não,,Não
C1013,28,Masculino,3,DSL,Anual,98.33,300.95,1,Não,Sim,Sim,Sim,Não
C1014,41,Masculino,37,Fibra,Mensal,46.59,1664.32,2,Não,Sim,Não,Sim,Não
C1015,70,Masculino,43,DSL,Mensal,119.03,5405.88,1,Não,Sim,Não,Sim,Não
C1016,53,Masculino,40,Fibra,Bianual,22.58,964.7,1,Não,Sim,Sim,Sim,Não
C1017,57,Feminino,55,DSL,Anual,80.35,4263.35,2,Não,Não,Sim,Sim,Sim
C1018,41,Masculino,39,Fibra,Bianual,85.95,3579.09,1,Sim,Não,Sim,Não,Não
C1019,20,Feminino,15,DSL,Anual,88.8,1226.39,1,Não,Sim,Não,Sim,Não
C1020,39,Feminino,4,Fibra,Mensal,32.04,136.82,3,Não,Sim,Não,Sim,Não
C1021,70,Masculino,25,DSL,Mensal,113.85,2648.58,4,Não,Não,Sim,Sim,Não
C1022,19,Masculino,13,DSL,Anual,38.12,454.22,2,Sim,Não,Não,,Sim
C1023,41,Masculino,33,DSL,Mensal,82.28,2792.23,3,Não,Não,Sim,Sim,Não
C1024,61,Masculino,16,DSL,Mensal,42.27,672.52,4,Sim,Sim,Sim,Não,Sim
C1025,47,Feminino,42,DSL,Anual,50.72,2304.02,4,Não,Não,Sim,Não,Sim
C1026,55,Masculino,66,Não tem,Mensal,74.65,4792.09,4,Não,Sim,Não,Sim,Sim
C1027,19,Masculino,55,Fibra,Anual,61.72,3250.09,3,Sim,Sim,,Não,Não
C1028,77,Masculino,42,Não tem,Mensal,36.02,1513.06,3,Não,Sim,Sim,Sim,Sim
C1029,38,Masculino,34,Fibra,Bianual,37.09,1249.95,4,Sim,Sim,Sim,Não,Sim
C1030,50,Masculino,30,Fibra,Mensal,61.81,1796.6,1,Não,Sim,Sim,Não,Não
C1031,29,Masculino,13,Fibra,Mensal,95.73,1292.71,1,Não,Sim,Não,Sim,Sim
